School Name,% Graduated
South Shore Charter Public School,100
Smith Academy,100
Rising Tide Charter Public School,100
Pathways Early College Innovation School,100
Norfolk County Agricultural,100
Martha's Vineyard Charter School,100
Ma Academy for Math and Science School,100
Foxborough Regional Charter School,100
Bristol County Agricultural High,100
Advanced Math and Science Academy Charter School,100
Upper Cape Cod Vocational Technical,99.4
Dover-Sherborn Regional High,99.4
Hingham High,99.3
Blackstone Valley,99.3
Shawsheen Valley Vocational Technical High School,99.1
Cohasset Middle/High School,99.1
Needham High,99
Mystic Valley Regional Charter School,99
Newton South High,98.9
Norwell High,98.8
Lynnfield High,98.8
Longmeadow High,98.8
Whittier Regional Vocational,98.7
Wayland High School,98.7
New Mission High School,98.7
Hopkinton High,98.7
Westford Academy,98.6
Montachusett Regional Vocational Technical,98.6
Hanover High,98.5
Duxbury High,98.5
Reading Memorial High,98.4
Natick High,98.4
Medfield Senior High,98.3
Concord Carlisle High,98.3
Acton-Boxborough Regional High,98.3
West Bridgewater Junior/Senior,98.2
Newton North High,98.2
Lincoln-Sudbury Regional High,98.2
Groton Dunstable Regional,98.2
Littleton High School,98.1
Lexington High,98.1
Hamilton-Wenham Regional High,98.1
Boston Latin,98.1
Arlington High,98.1
Tantasqua Regional Vocational,97.9
Silver Lake Regional High,97.9
Oliver Ames High,97.8
Mansfield High,97.8
Belmont High,97.8
Tyngsborough High School,97.7
Hampshire Regional High,97.7
Westwood High,97.6
Lenox Memorial High,97.6
Winchester High School,97.5
Sturgis Charter Public School,97.5
Masconomet Regional High School,97.5
Essex Technical High School,97.5
Weston High,97.4
Manchester Essex Regional High School,97.4
Blue Hills Regional Vocational Technical,97.4
Westborough High,97.3
Wellesley Sr High,97.3
Canton High,97.3
Old Colony Regional Vocational Technical,97.2
East Longmeadow High,97.2
Burlington High,97.2
Marshfield High,97.1
Georgetown High School,97.1
Bristol-Plymouth Vocational Technical,97.1
Southeastern Regional Vocational Technical,97
North Andover High,97
Diman Regional Vocational Technical High,97
Wakefield Memorial High,96.9
Milton High,96.9
Boston Latin Academy,96.9
Auburn Senior High,96.9
Shrewsbury Sr High,96.8
Pioneer Valley Regional,96.8
Nashoba Valley Technical High School,96.8
Monson High School,96.7
Medway High,96.7
Charles McCann Vocational Technical,96.7
Northeast Metro Regional Vocational,96.6
Sabis International Charter School,96.4
Pioneer Charter School of Science,96.4
Foxborough High,96.4
North Middlesex Regional,96.3
Walpole High,96.2
Somerset Berkley Regional High School,96.2
Pembroke High School,96.2
Norton High,96.2
